sample	patient	celltype1	celltype2	Tumor
PD10_ZZM_TB_29_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_PB_84_20170825	P0825	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TB_51_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NB_14_20170825	P0825	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TB_34_20170825	P0825	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_PB_1_20170825	P0825	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_Nnk_88_20170825	P0825	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TB_19_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TB_21_20170825	P0825	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_TB_83_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_PB_51_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TB_42_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_Nmy_61_20170825	P0825	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_Nnk_18_20170825	P0825	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TB_10_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_PB_63_20170825	P0825	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TB_72_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NB_48_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_Nmy_3_20170825	P0825	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TB_3_20170825	P0825	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP10_482_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_547_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_PP10_298_20170728	P0728	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_PP10_1_20170728	P0728	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_PP10_219_20170728	P0728	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_PP10_109_20170728	P0728	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP10_424_20170728	P0728	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_PP10_382_20170728	P0728	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP10_347_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_528_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_641_20170728	P0728	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP10_525_20170728	P0728	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP10_151_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_PP10_311_20170728	P0728	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_TP10_694_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_609_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_512_20170728	P0728	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP10_763_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_549_20170728	P0728	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP10_734_20170728	P0728	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_NP10_100_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_102_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_138_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_147_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_148_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_185_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_241_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_268_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_NP10_289_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_NP10_44_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP10_99_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP10_159_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP10_212_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP10_314_20170728	P0728	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP10_325_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP10_356_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP10_426_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP10_444_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP10_506_20170728	P0728	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP10_559_20170728	P0728	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP5_123_20170728	P0728	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_NP5_2_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_126_20170728	P0728	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_41_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_61_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_58_20170728	P0728	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_85_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_3_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_49_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_83_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_79_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_31_20170728	P0728	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_NP5_9_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_94_20170728	P0728	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP5_16_20170728	P0728	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_38_20170728	P0728	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_1_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_26_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_71_20170728	P0728	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_70_20170728	P0728	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_NP5_81_20170728	P0728	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TP10_234_20170728	P0728	CD8T	hT16_CD8_CD6	nonTumor
PD10_ZZM_TP10_246_20170728	P0728	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TP10_415_20170728	P0728	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TP10_475_20170728	P0728	CD8T	hT18_CD8_LAYN	nonTumor
PD10_ZZM_TP10_670_20170728	P0728	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_NP10_14_20170728	P0728	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_NP10_202_20170728	P0728	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_NP10_207_20170728	P0728	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_NP10_210_20170728	P0728	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_TP10_581_20170728	P0728	CD4T	hT07_CD4_GZMK	nonTumor
PD10_ZZM_NP10_226_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_9_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_369_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_291_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NB_16_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_7_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP10_264_20170728	P0728	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_NB_24_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NB_9_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_303_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NB_2_20170728	P0728	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NP10_368_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP10_692_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NB_13_20170728	P0728	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TP10_634_20170728	P0728	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_NP10_22_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_6_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NB_11_20170728	P0728	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NP10_278_20170728	P0728	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NB_44_20170728	P0728	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TP8_15_20170720	P0720	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP8_87_20170720	P0720	Myeloid	hM04_cDC1_BATF3	nonTumor
PD10_ZZM_TP8_45_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP8_57_20170720	P0720	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_NP8_126_20170720	P0720	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP8_136_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP8_50_20170720	P0720	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP8_112_20170720	P0720	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP8_8_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP8_62_20170720	P0720	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_TP8_139_20170720	P0720	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP8_146_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP8_33_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP8_75_20170720	P0720	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP8_113_20170720	P0720	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP8_110_20170720	P0720	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_NP8_166_20170720	P0720	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_NP8_129_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP8_27_20170720	P0720	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_NP8_121_20170720	P0720	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_NP8_148_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP8_150_20170720	P0720	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_NP8_174_20170720	P0720	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_NP8_175_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP8_49_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NP8_67_20170720	P0720	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_NP8_82_0720	P0720	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP8_12_20170720	P0720	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP8_18_20170720	P0720	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP8_25_20170720	P0720	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_TP8_36_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP8_38_20170720	P0720	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP8_53_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP8_71_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP8_72_20170720	P0720	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP8_86_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP8_88_20170720	P0720	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP5_156_20170720	P0720	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_375_20170720	P0720	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_138_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_287_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_261_20170720	P0720	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_249_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_NP5_71_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_218_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_NP5_74_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_370_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_387_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_279_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_293_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_410_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_319_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_176_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_351_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_132_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_271_20170720	P0720	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_443_20170720	P0720	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_457_20170720	P0720	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP5_322_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_29_0720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_478_20170720	P0720	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP5_251_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_106_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_13_0720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_140_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_437_20170720	P0720	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_16_20170720	P0720	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_61_0720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_454_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_NP5_47_20170720	P0720	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_456_20170720	P0720	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_NP5_49_20170720	P0720	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_341_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_272_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_406_20170720	P0720	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_NP5_146_20170720	P0720	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_364_20170720	P0720	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP8_109_20170720	P0720	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TP8_126_20170720	P0720	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_NP8_60_20170720	P0720	CD4T	hT05_CD4_CXCR6	nonTumor
PD10_ZZM_TP8_140_20170720	P0720	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_NP8_80_0720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP8_51_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP8_135_20170720	P0720	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_NP8_94_0720	P0720	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_NP8_3_0720	P0720	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_NP8_131_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP8_59_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP8_35_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP8_185_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP8_13_20170720	P0720	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_TP8_1_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP8_76_20170720	P0720	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_NP8_91_0720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP8_20_20170720	P0720	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP8_21_20170720	P0720	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP8_24_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP8_65_20170720	P0720	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_NP8_108_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP8_156_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP8_159_20170720	P0720	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP1041_20170413	P0413	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_PP10176_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_NP1048_20170413	P0413	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP10156_20170413	P0413	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_PP107_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_PP1037_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP10150_20170413	P0413	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP1068_20170413	P0413	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_NP9189_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_PP102_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP106_20170413	P0413	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_PP1065_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP10123_20170413	P0413	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_NP1038_20170413	P0413	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_PP10144_20170413	P0413	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TP1091_20170413	P0413	Myeloid	hM13_TAM_SPP1	nonTumor
PD10_ZZM_PP997_20170413	P0413	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP1056_20170413	P0413	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_PP10153_20170413	P0413	Myeloid	hM06_Mono_CD16	nonTumor
PD10_ZZM_TP10172_20170413	P0413	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP9101_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP1038_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP9181_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP974_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP10122_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP912_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_PP9174_20170413	P0413	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9104_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP10168_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP9121_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP9151_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP9106_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP929_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP1094_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP9146_20170413	P0413	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP9132_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_TP9175_20170413	P0413	ILC	hI03_NK_CD103	nonTumor
PD10_ZZM_PP9105_20170413	P0413	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_NP9_122_0413	P0413	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_PP9180_20170413	P0413	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP519_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5244_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5249_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP574_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP591_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5269_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5178_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP532_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5211_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP564_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP541_20170413	P0413	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP5247_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5222_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5271_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5235_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5284_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5278_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP543_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP526_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TP5205_20170413	P0413	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_NP9167_20170413	P0413	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TP986_20170413	P0413	CD8T	hT18_CD8_LAYN	nonTumor
PD10_ZZM_TP988_20170413	P0413	CD8T	hT14_CD8_CX3CR1	nonTumor
PD10_ZZM_NP9_140_0413	P0413	CD4T	hT04_CD4_TCF7	nonTumor
PD10_ZZM_NP9158_20170413	P0413	CD4T	hT04_CD4_TCF7	nonTumor
PD10_ZZM_NP10149_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP9_176_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP9_180_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP1033_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP9_137_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP9_146_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP1070_20170413	P0413	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_NP9_174_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP980_20170413	P0413	B	hB05_GCBCell_LRMP	nonTumor
PD10_ZZM_NP10126_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP939_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10_117_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP955_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_PP9192_20170413	P0413	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_NP10_115_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP9_175_0413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10156_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10177_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP911_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_NP10173_20170413	P0413	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_PP8_4_20170411	P0411	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP10_110_20170411	P0411	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP10_15_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP9_74_20170411	P0411	Myeloid	hM02_pDC_LILRA4	nonTumor
