sample	well_quality	cell_type	fastq_url	patient
HP1507101_C16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631665/ERR1631665.fastq.gz	HP1507101
HP1507101_C17	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631666/ERR1631666.fastq.gz	HP1507101
HP1507101_C18	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631667/ERR1631667.fastq.gz	HP1507101
HP1507101_C19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631668/ERR1631668.fastq.gz	HP1507101
HP1507101_C2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631669/ERR1631669.fastq.gz	HP1507101
HP1507101_C20	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631670/ERR1631670.fastq.gz	HP1507101
HP1507101_C21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631671/ERR1631671.fastq.gz	HP1507101
HP1507101_C22	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631672/ERR1631672.fastq.gz	HP1507101
HP1507101_C23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631673/ERR1631673.fastq.gz	HP1507101
HP1507101_C24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631674/ERR1631674.fastq.gz	HP1507101
HP1507101_C3	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631675/ERR1631675.fastq.gz	HP1507101
HP1507101_C4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631676/ERR1631676.fastq.gz	HP1507101
HP1507101_C5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631677/ERR1631677.fastq.gz	HP1507101
HP1507101_C6	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631678/ERR1631678.fastq.gz	HP1507101
HP1507101_C7	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631679/ERR1631679.fastq.gz	HP1507101
HP1507101_C8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631680/ERR1631680.fastq.gz	HP1507101
HP1507101_C9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631681/ERR1631681.fastq.gz	HP1507101
HP1507101_D1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631682/ERR1631682.fastq.gz	HP1507101
HP1507101_D10	OK	endothelial cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631683/ERR1631683.fastq.gz	HP1507101
HP1507101_D11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631684/ERR1631684.fastq.gz	HP1507101
HP1507101_D12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631685/ERR1631685.fastq.gz	HP1507101
HP1507101_D13	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631686/ERR1631686.fastq.gz	HP1507101
HP1507101_D14	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631687/ERR1631687.fastq.gz	HP1507101
HP1507101_D15	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631688/ERR1631688.fastq.gz	HP1507101
HP1507101_D16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631689/ERR1631689.fastq.gz	HP1507101
HP1507101_D17	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631690/ERR1631690.fastq.gz	HP1507101
HP1507101_D18	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631691/ERR1631691.fastq.gz	HP1507101
HP1507101_D19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631692/ERR1631692.fastq.gz	HP1507101
HP1507101_D2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631693/ERR1631693.fastq.gz	HP1507101
HP1507101_D20	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631694/ERR1631694.fastq.gz	HP1507101
HP1507101_D21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631695/ERR1631695.fastq.gz	HP1507101
HP1507101_D22	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631696/ERR1631696.fastq.gz	HP1507101
HP1507101_D23	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631697/ERR1631697.fastq.gz	HP1507101
HP1507101_D24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631698/ERR1631698.fastq.gz	HP1507101
HP1507101_D3	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631699/ERR1631699.fastq.gz	HP1507101
HP1507101_D4	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631700/ERR1631700.fastq.gz	HP1507101
HP1507101_D5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631701/ERR1631701.fastq.gz	HP1507101
HP1507101_D6	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631702/ERR1631702.fastq.gz	HP1507101
HP1507101_D7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631703/ERR1631703.fastq.gz	HP1507101
HP1507101_D8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631704/ERR1631704.fastq.gz	HP1507101
HP1507101_D9	OK	PSC cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631705/ERR1631705.fastq.gz	HP1507101
HP1507101_E1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631706/ERR1631706.fastq.gz	HP1507101
HP1507101_E10	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631707/ERR1631707.fastq.gz	HP1507101
HP1507101_E11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631708/ERR1631708.fastq.gz	HP1507101
HP1507101_E12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631709/ERR1631709.fastq.gz	HP1507101
HP1507101_E13	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631710/ERR1631710.fastq.gz	HP1507101
HP1507101_E14	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631711/ERR1631711.fastq.gz	HP1507101
HP1507101_E15	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631712/ERR1631712.fastq.gz	HP1507101
HP1507101_E16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631713/ERR1631713.fastq.gz	HP1507101
HP1507101_E17	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631714/ERR1631714.fastq.gz	HP1507101
HP1507101_E18	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631715/ERR1631715.fastq.gz	HP1507101
HP1507101_E19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631716/ERR1631716.fastq.gz	HP1507101
HP1507101_E2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631717/ERR1631717.fastq.gz	HP1507101
HP1507101_E20	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631718/ERR1631718.fastq.gz	HP1507101
HP1507101_E21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631719/ERR1631719.fastq.gz	HP1507101
HP1507101_E22	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631720/ERR1631720.fastq.gz	HP1507101
HP1507101_E23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631721/ERR1631721.fastq.gz	HP1507101
HP1507101_E24	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631722/ERR1631722.fastq.gz	HP1507101
HP1507101_E3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631723/ERR1631723.fastq.gz	HP1507101
HP1507101_E4	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631724/ERR1631724.fastq.gz	HP1507101
HP1507101_E5	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631725/ERR1631725.fastq.gz	HP1507101
HP1507101_E6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631726/ERR1631726.fastq.gz	HP1507101
HP1507101_E7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631727/ERR1631727.fastq.gz	HP1507101
HP1507101_E8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631728/ERR1631728.fastq.gz	HP1507101
HP1507101_E9	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631729/ERR1631729.fastq.gz	HP1507101
HP1507101_F1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631730/ERR1631730.fastq.gz	HP1507101
HP1507101_F10	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631731/ERR1631731.fastq.gz	HP1507101
HP1507101_F11	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631732/ERR1631732.fastq.gz	HP1507101
HP1507101_F12	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631733/ERR1631733.fastq.gz	HP1507101
HP1507101_F13	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631734/ERR1631734.fastq.gz	HP1507101
HP1507101_F14	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631735/ERR1631735.fastq.gz	HP1507101
HP1507101_F15	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631736/ERR1631736.fastq.gz	HP1507101
HP1507101_F16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631737/ERR1631737.fastq.gz	HP1507101
HP1507101_F17	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631738/ERR1631738.fastq.gz	HP1507101
HP1507101_F18	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631739/ERR1631739.fastq.gz	HP1507101
HP1507101_F19	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631740/ERR1631740.fastq.gz	HP1507101
HP1507101_F2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631741/ERR1631741.fastq.gz	HP1507101
HP1507101_F20	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631742/ERR1631742.fastq.gz	HP1507101
HP1507101_F21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631743/ERR1631743.fastq.gz	HP1507101
HP1507101_F22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631744/ERR1631744.fastq.gz	HP1507101
HP1507101_F23	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631745/ERR1631745.fastq.gz	HP1507101
HP1507101_F24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631746/ERR1631746.fastq.gz	HP1507101
HP1507101_F3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631747/ERR1631747.fastq.gz	HP1507101
HP1507101_F4	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631748/ERR1631748.fastq.gz	HP1507101
HP1507101_F5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631749/ERR1631749.fastq.gz	HP1507101
HP1507101_F6	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631750/ERR1631750.fastq.gz	HP1507101
HP1507101_F7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631751/ERR1631751.fastq.gz	HP1507101
HP1507101_F8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631752/ERR1631752.fastq.gz	HP1507101
HP1507101_F9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631753/ERR1631753.fastq.gz	HP1507101
HP1507101_G1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631754/ERR1631754.fastq.gz	HP1507101
HP1507101_G10	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631755/ERR1631755.fastq.gz	HP1507101
HP1507101_G11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631756/ERR1631756.fastq.gz	HP1507101
HP1507101_G12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631757/ERR1631757.fastq.gz	HP1507101
HP1507101_G13	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631758/ERR1631758.fastq.gz	HP1507101
HP1507101_G14	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631759/ERR1631759.fastq.gz	HP1507101
HP1507101_G15	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631760/ERR1631760.fastq.gz	HP1507101
HP1507101_G16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631761/ERR1631761.fastq.gz	HP1507101
HP1507101_G17	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631762/ERR1631762.fastq.gz	HP1507101
HP1507101_G18	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631763/ERR1631763.fastq.gz	HP1507101
HP1507101_G19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631764/ERR1631764.fastq.gz	HP1507101
HP1507101_G2	OK	PSC cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631765/ERR1631765.fastq.gz	HP1507101
HP1507101_G20	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631766/ERR1631766.fastq.gz	HP1507101
HP1507101_G21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631767/ERR1631767.fastq.gz	HP1507101
HP1507101_G22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631768/ERR1631768.fastq.gz	HP1507101
HP1507101_G23	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631769/ERR1631769.fastq.gz	HP1507101
HP1507101_G24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631770/ERR1631770.fastq.gz	HP1507101
HP1507101_G3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631771/ERR1631771.fastq.gz	HP1507101
HP1507101_G4	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631772/ERR1631772.fastq.gz	HP1507101
HP1507101_G5	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631773/ERR1631773.fastq.gz	HP1507101
HP1507101_G6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631774/ERR1631774.fastq.gz	HP1507101
HP1507101_G7	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631775/ERR1631775.fastq.gz	HP1507101
HP1507101_G8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631776/ERR1631776.fastq.gz	HP1507101
HP1507101_G9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631777/ERR1631777.fastq.gz	HP1507101
HP1507101_H1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631778/ERR1631778.fastq.gz	HP1507101
HP1507101_H10	OK	co-expression cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631779/ERR1631779.fastq.gz	HP1507101
HP1507101_H11	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631780/ERR1631780.fastq.gz	HP1507101
HP1507101_H12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631781/ERR1631781.fastq.gz	HP1507101
HP1507101_H13	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631782/ERR1631782.fastq.gz	HP1507101
HP1507101_H14	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631783/ERR1631783.fastq.gz	HP1507101
HP1507101_H15	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631784/ERR1631784.fastq.gz	HP1507101
HP1507101_H16	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631785/ERR1631785.fastq.gz	HP1507101
HP1507101_H17	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631786/ERR1631786.fastq.gz	HP1507101
HP1507101_H18	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631787/ERR1631787.fastq.gz	HP1507101
HP1507101_H19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631788/ERR1631788.fastq.gz	HP1507101
HP1507101_H2	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631789/ERR1631789.fastq.gz	HP1507101
HP1507101_H20	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631790/ERR1631790.fastq.gz	HP1507101
HP1507101_H21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631791/ERR1631791.fastq.gz	HP1507101
HP1507101_H22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631792/ERR1631792.fastq.gz	HP1507101
HP1507101_H23	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631793/ERR1631793.fastq.gz	HP1507101
HP1507101_H24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631794/ERR1631794.fastq.gz	HP1507101
HP1507101_H3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631795/ERR1631795.fastq.gz	HP1507101
HP1507101_H4	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631796/ERR1631796.fastq.gz	HP1507101
HP1507101_H5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631797/ERR1631797.fastq.gz	HP1507101
HP1507101_H6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631798/ERR1631798.fastq.gz	HP1507101
HP1507101_H7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631799/ERR1631799.fastq.gz	HP1507101
HP1507101_H8	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631800/ERR1631800.fastq.gz	HP1507101
HP1507101_H9	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631801/ERR1631801.fastq.gz	HP1507101
HP1507101_I1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631802/ERR1631802.fastq.gz	HP1507101
HP1507101_I10	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631803/ERR1631803.fastq.gz	HP1507101
HP1507101_I11	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631804/ERR1631804.fastq.gz	HP1507101
HP1507101_I12	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631805/ERR1631805.fastq.gz	HP1507101
HP1507101_I13	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631806/ERR1631806.fastq.gz	HP1507101
HP1507101_I14	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631807/ERR1631807.fastq.gz	HP1507101
HP1507101_I15	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631808/ERR1631808.fastq.gz	HP1507101
HP1507101_I16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631809/ERR1631809.fastq.gz	HP1507101
HP1507101_I17	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631810/ERR1631810.fastq.gz	HP1507101
HP1507101_I18	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631811/ERR1631811.fastq.gz	HP1507101
HP1507101_I19	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631812/ERR1631812.fastq.gz	HP1507101
HP1507101_I2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631813/ERR1631813.fastq.gz	HP1507101
HP1507101_I20	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631814/ERR1631814.fastq.gz	HP1507101
HP1507101_I21	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631815/ERR1631815.fastq.gz	HP1507101
HP1507101_I22	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631816/ERR1631816.fastq.gz	HP1507101
HP1507101_I23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631817/ERR1631817.fastq.gz	HP1507101
HP1507101_I24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631818/ERR1631818.fastq.gz	HP1507101
HP1507101_I3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631819/ERR1631819.fastq.gz	HP1507101
HP1507101_I4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631820/ERR1631820.fastq.gz	HP1507101
HP1507101_I5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631821/ERR1631821.fastq.gz	HP1507101
HP1507101_I6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631822/ERR1631822.fastq.gz	HP1507101
HP1507101_I7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631823/ERR1631823.fastq.gz	HP1507101
HP1507101_I8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631824/ERR1631824.fastq.gz	HP1507101
HP1507101_I9	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631825/ERR1631825.fastq.gz	HP1507101
HP1507101_J1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631826/ERR1631826.fastq.gz	HP1507101
HP1507101_J10	control, empty well	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631827/ERR1631827.fastq.gz	HP1507101
HP1507101_J11	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631828/ERR1631828.fastq.gz	HP1507101
HP1507101_J12	OK	PSC cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631829/ERR1631829.fastq.gz	HP1507101
HP1507101_J13	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1631830/ERR1631830.fastq.gz	HP1507101
HP1507101_J14	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631831/ERR1631831.fastq.gz	HP1507101
HP1507101_J15	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1631832/ERR1631832.fastq.gz	HP1507101
HP1507101_J16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631833/ERR1631833.fastq.gz	HP1507101
HP1507101_J17	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631834/ERR1631834.fastq.gz	HP1507101
