patient	plate	sample	Tumor	celltype1	fq1_url	fq2_url
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_G3_S75	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G3_S75_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G3_S75_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_G5_S77	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G5_S77_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G5_S77_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_G6_S78	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G6_S78_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G6_S78_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_G7_S79	nonTumor	Bcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G7_S79_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G7_S79_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_G8_S80	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G8_S80_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G8_S80_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_G9_S81	nonTumor	Bcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G9_S81_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-G9_S81_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H10_S94	nonTumor	Bcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H10_S94_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H10_S94_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H11_S95	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H11_S95_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H11_S95_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H1_S85	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H1_S85_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H1_S85_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H2_S86	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H2_S86_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H2_S86_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H3_S87	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H3_S87_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H3_S87_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H4_S88	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H4_S88_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H4_S88_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H5_S89	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H5_S89_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H5_S89_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H6_S90	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H6_S90_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H6_S90_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H7_S91	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H7_S91_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H7_S91_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H8_S92	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H8_S92_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H8_S92_L001_R2_001.fastq.gz
Melanoma_67	Cy67_CD45pos	Cy67_CD45pos_S2_H9_S93	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H9_S93_L001_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy67-CD45pos-S2-H9_S93_L001_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D06_S42_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D06_S42_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D06_S42_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C11_S35_comb	nonTumor	CAF	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C11_S35_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C11_S35_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D12_S48_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D12_S48_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D12_S48_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D03_S39_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D03_S39_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D03_S39_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B07_S19_comb	Unknown	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B07_S19_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B07_S19_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B08_S20_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B08_S20_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B08_S20_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_F11_S71_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F11_S71_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F11_S71_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_F01_S61_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F01_S61_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F01_S61_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_G02_S74_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G02_S74_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G02_S74_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_G04_S76_comb	Unknown	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G04_S76_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G04_S76_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B06_S18_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B06_S18_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B06_S18_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B09_S21_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B09_S21_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B09_S21_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B12_S24_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B12_S24_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B12_S24_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C09_S33_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C09_S33_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C09_S33_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_E03_S51_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E03_S51_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E03_S51_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C10_S34_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C10_S34_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C10_S34_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B11_S23_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B11_S23_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B11_S23_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H12_S96_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H12_S96_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H12_S96_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_G06_S78_comb	nonTumor	CAF	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G06_S78_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G06_S78_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B01_S13_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B01_S13_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B01_S13_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_G10_S82_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G10_S82_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-G10_S82_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B04_S16_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B04_S16_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B04_S16_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D10_S46_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D10_S46_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D10_S46_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D09_S45_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D09_S45_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D09_S45_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_F09_S69_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F09_S69_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F09_S69_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H02_S86_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H02_S86_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H02_S86_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_B03_S15_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B03_S15_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-B03_S15_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_E01_S49_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E01_S49_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E01_S49_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H07_S91_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H07_S91_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H07_S91_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_E11_S59_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E11_S59_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E11_S59_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_F06_S66_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F06_S66_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F06_S66_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C04_S28_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C04_S28_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C04_S28_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H05_S89_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H05_S89_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H05_S89_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C02_S26_comb	Unknown	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C02_S26_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C02_S26_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H09_S93_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H09_S93_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H09_S93_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H08_S92_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H08_S92_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H08_S92_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H11_S95_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H11_S95_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H11_S95_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H01_S85_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H01_S85_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H01_S85_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_E08_S56_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E08_S56_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E08_S56_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_F05_S65_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F05_S65_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F05_S65_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_H10_S94_comb	nonTumor	Endothelial	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H10_S94_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-H10_S94_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C08_S32_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C08_S32_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C08_S32_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D02_S38_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D02_S38_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D02_S38_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D11_S47_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D11_S47_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D11_S47_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_C12_S36_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C12_S36_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-C12_S36_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_F10_S70_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F10_S70_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-F10_S70_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D01_S37_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D01_S37_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D01_S37_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_D07_S43_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D07_S43_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-D07_S43_comb_R2_001.fastq.gz
Melanoma_80	CY80_neg	CY80_neg_E02_S50_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E02_S50_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY80-neg-E02_S50_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_1	cy78_CD45_neg_1_B04_S496_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-1-B04_S496_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-1-B04_S496_comb_R2_001.fastq.gz
Melanoma_80	cy80_CD45_neg	cy80_CD45_neg_F02_S446_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-F02_S446_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-F02_S446_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_3	cy78_CD45_neg_3_H06_S762_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-H06_S762_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-H06_S762_comb_R2_001.fastq.gz
Melanoma_84	cy84_Met_CD45_pos	cy84_Met_CD45_pos_B03_S879_comb	nonTumor	Bcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy84-Met-CD45-pos-B03_S879_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy84-Met-CD45-pos-B03_S879_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_1	cy78_CD45_neg_1_D07_S523_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-1-D07_S523_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-1-D07_S523_comb_R2_001.fastq.gz
Melanoma_84	cy84_Met_CD45_pos	cy84_Met_CD45_pos_A09_S873_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy84-Met-CD45-pos-A09_S873_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy84-Met-CD45-pos-A09_S873_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_3	cy78_CD45_neg_3_D01_S709_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-D01_S709_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-D01_S709_comb_R2_001.fastq.gz
Melanoma_80	cy80_CD45_neg	cy80_CD45_neg_A09_S393_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-A09_S393_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy80-CD45-neg-A09_S393_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_2	cy78_CD45_neg_2_B08_S596_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-2-B08_S596_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-2-B08_S596_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_1	cy78_CD45_neg_1_E02_S530_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-1-E02_S530_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-1-E02_S530_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_3	cy78_CD45_neg_3_B02_S686_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-B02_S686_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-B02_S686_comb_R2_001.fastq.gz
Melanoma_78	cy78_CD45_neg_3	cy78_CD45_neg_3_D04_S712_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-D04_S712_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy78-CD45-neg-3-D04_S712_comb_R2_001.fastq.gz
